Lat,Lon,Year,AD_BC,Annotation
39.074208,21.824312,399,BC,"Socrates speaks to jury at his trial: 'If you offered to let me off this time on condition I am not any longer to speak my mind... I should say to you, ""Men of Athens, I shall obey the Gods rather than you.""'"
51.511214,-0.119824,1215,AD,"Magna Carta, wrung from the unwilling King John by his rebellious barons, is signed. It will later be regarded as the cornerstone of liberty in England."
51.924216,4.481776,1516,AD,"The Education of a Christian Prince by Erasmus. 'In a free state, tongues too should be free.'"
43.771033,11.248001,1633,AD,Galileo Galilei hauled before the Inquisition after claiming the sun does not revolve around the earth.
51.511214,-0.119824,1644,AD,"'Areopagitica', a pamphlet by the poet John Milton, argues against restrictions of freedom of the press. 'He who destroys a good book, kills reason itself.'"
51.511214,-0.119824,1689,AD,Bill of Rights grants 'freedom of speech in Parliament' after James II is overthrown and William and Mary installed as co-rulers.
48.856614,2.352222,1770,AD,"Voltaire writes in a letter: 'Monsieur l'abbé, I detest what you write, but I would give my life to make it possible for you to continue to write.'"
48.856614,2.352222,1789,AD,"'The Declaration of the Rights of Man', a fundamental document of the French Revolution, provides for freedom of speech ."
38.895112 ,-77.036366,1791,AD,"The First Amend-ment of the US Bill of Rights guarantees four freedoms: of religion, speech, the press and the right to assemble."
51.511214,-0.119824,1859,AD,"On Liberty', an essay by the philosopher John Stuart Mill, argues for toleration and individuality. 'If any opinion is compelled to silence, that opinion may, for aught we can certainly know, be true. To deny this is to assume our own infallibility.'"
51.3359,0.0535,1859,AD,"On the Origin of Species, by Charles Darwin, expounds the theory of natural selection. TH Huxley publicly defends Darwin against religious fundamentalists."
38.895112 ,-77.036366,1929,AD,"Justice Oliver Wendell Holmes, of the US Supreme Court, outlines his belief in free speech: 'The principle of free thought is not free thought for those who agree with us but freedom for the thought we hate.'"
48.862675, 2.2885,1948,AD,"The Universal Declaration of Human Rights is adopted virtually unanimously by the UN General Assembly. It urges member nations to promote human, civil, economic and social rights, including freedom of expression and religion."
51.752021,-1.257726,1958,AD,"Two Concepts of Liberty, by Isaiah Berlin, identifies negative liberty as an absence or lack of impediments, obstacles or coercion, as distinct from positive liberty (self-mastery and the presence of conditions for freedom)."
51.511214,-0.119824,1960,AD,"After a trial at Old Bailey, Penguin wins the right to publish D H Lawrence's sexually explicit novel, Lady Chatterley's Lover."
55.751242,37.618422,1962,AD,One Day In the Life of Ivan Denisovich by Aleksandr Solzhenitsyn describes life in a labour camp during Stalin's era. Solzhenitsyn is exiled in 1974.
35.696216,51.422945,1989,AD," Iranian leader Ayatollah Khomeini issues a fatwa against Salman Rushdie over the 'blasphemous' content of his novel, The Satanic Verses. The fatwa is lifted in 1998."
42.358431,-71.059773,1992,AD,"In Manufacturing Consent, Noam Chomsky points out: 'Goebbels was in favour of free speech for views he liked. So was Stalin. If you're in favour of free speech, then you're in favour of freedom of speech precisely for views you despise.'"
38.895112 ,-77.036366,2001,AD," In the wake of 9/11, the Patriot Act gives the US government new powers to investigate individuals suspected of being a threat, raising fears for civil liberties.
"
37.102803,-8.672925,2002,AD,"Nigerian journalist Isioma Daniel incenses Muslims by writing about the Prophet Mohammed and Miss World, provoking riots which leave more than 200 dead."
52.370216,4.895168,2004,AD,Dutch film maker Theo van Gogh is killed after release of his movie about violence against women in Islamic societies.
51.499493 ,-0.124753,2005,AD,The Serious Organised Crime and Police Act bans protest without permit within 1km of the British Parliament.
