Name,Owner,Address,Latitude,Longitude,Year
Blue Boar,Barnard Thos.,Sparrow corner  London ,55.6059526,-4.4736545,1839
Three Crowns,Straughan John,9 Richmond Street Haymarket London ,55.9452782,-3.1835988,1839
Kings Head,Pearson Geo,Cannon Alley St Pauls London ,51.4412013,-2.6014559,1839
Lord Clive,Morton James,Duke Street Manchester Square London ,53.4756381,-2.2548111,1839
Lord Keith,Haynes John Brook,York Street Gloucester Place London ,51.8682451,-2.2340576,1839
Man in the Moon,Dunn William,Little Vine Street Piccadilly London ,53.4771243,-2.2310505,1839
Queens Head,Jones John,3 Albemarle Street Piccadilly London ,53.4771243,-2.2310505,1839
Saddlers Arms,Husher Charles,14 Swallow Street Piccadilly London ,53.4771243,-2.2310505,1839
Griffin,Robinson Hy,28 Halfmoon Street Piccadilly London ,53.4771243,-2.2310505,1839
White Lion,Paine John,Derby Street Piccadilly London ,53.4771243,-2.2310505,1839
Queens Head,Cudling Robert,5 Darkhouse lane  London ,52.5492978,-2.0880064,1839
Tilt Boat,Winn John,4 Darkhouse Lane  London ,52.5492978,-2.0880064,1839
Rose & Crown,Bates John,60 Dorset Street Salisbury Square London ,51.0811258,-1.7918059,1839
Three Compasses,Bennett Henry,24 Orchard Street Oxford Street London ,53.8757874,-1.7076312,1839
Coach & Horses,Bennett Henry,17 Little Compton Street  London ,51.9906046,-1.6953892,1839
Duke of York,Griffiths William,York Street Portman Square London ,53.8281246,-1.6877649,1839
Pontefract Castle,Watts David,1 Southampton Row New Road London ,50.9367268,-1.5765115,1839
Duke of York,Freeman Thomas,28 Stockbridge Terrace  London ,51.1148673,-1.4864728,1839
Prince Regent,Martin William,Walbrook Row East Road London ,52.8987301,-1.4337617,1839
Kings Arms,Ward William,5 Castle Street Leicester Square London ,52.6333269,-1.1405779,1839
George,Taylor Wmith Jobson,45 Castle Street Leicester Square London ,52.6331812,-1.1404412,1839
Horse and Groom,Heath William,51 Castle Street Leicester Square London ,52.6331812,-1.1404412,1839
Monmouth Head,Prested F O,40 Castle Street Leicester Square London ,52.6331812,-1.1404412,1839
Sun and Thirteen cantons,Brown ____,21 Castle Street Leicester Square London ,52.6331886,-1.1404407,1839
Duke of Sussex,Swallow R L,18 Pierpont Row  London ,52.9493379,-1.1403903,1839
Cambrian,Morgan John,Castle street Leicester Square London ,52.6327501,-1.1398941,1839
Black Lion,Reed Edward,31 New Montague Street  London ,53.3041574,-0.9307921,1839
Fleece,Laidley Thomas,27 Little Windmill Street  London ,51.6994928,-0.5031443,1839
Grapes,Sawyer Wm,19 Little Windmill Street  London ,51.6994928,-0.5031443,1839
Waggon & Horses,Shaw Thomas Benj,Hertford Road Kingsland Road London ,51.7452092,-0.4884561,1839
African Chief,Temple Jas,37 Wilstead Street  London ,52.0561514,-0.4606257,1839
Brewers Arms,Nares John,10 Morgans lane Borough London ,51.5247748,-0.4355423,1839
Dukes Head,Holmes Samuel,1 Lemon Street Borough London ,51.4456597,-0.4137326,1839
Constitution,Ellis Jno Thomas,White Street Borough London ,51.5051523,-0.390421,1839
Northumberland Arms,Snowing Chas,77 Well Street Oxford Street London ,51.5101356,-0.375544,1839
Boot,Webb William,47 Wells street Oxford street London ,51.5101356,-0.375544,1839
